Date,KC1011,KC730,KC693,KC771,Total Quantity(Y)
19-01-2021,0,0,948.2757179,0,0
20-01-2021,0,0,0,0,0
21-01-2021,0,0,948.276,0,0
22-01-2021,0,0,0,0,0
23-01-2021,0,0,948.2783333,0,0
24-01-2021,0,0,0,0,0
25-01-2021,0,0,0,0,0
26-01-2021,0,948.276,0,0,0
27-01-2021,0,0,0,0,0
28-01-2021,0,0,948.2761905,0,0
29-01-2021,0,948.275,948.2758333,0,0
30-01-2021,0,0,948.275,0,0
31-01-2021,0,0,0,0,0
01-02-2021,0,948.28,0,0,0
02-02-2021,0,0,0,0,0
03-02-2021,0,948.278125,948.28,0,0
04-02-2021,0,0,948.2766667,948.2755,7
05-02-2021,0,948.275,0,0,0
06-02-2021,0,948.2757143,948.275625,948.276,10
07-02-2021,0,0,0,0,0
08-02-2021,0,0,948.276,0,0
09-02-2021,0,948.275,0,0,0
10-02-2021,0,857.7587064,948.2760404,0,0
11-02-2021,0,857.7590278,0,0,0
12-02-2021,0,857.7581667,948.2755556,948.2756522,23
13-02-2021,0,857.75875,0,0,0
14-02-2021,0,0,0,0,0
15-02-2021,0,857.7586667,0,0,0
16-02-2021,0,857.7592308,948.2766667,0,0
17-02-2021,0,857.76,948.28,0,0
18-02-2021,0,0,948.275,0,0
19-02-2021,0,857.759,948.2757143,0,0
20-02-2021,0,0,948.276,0,0
21-02-2021,0,0,0,0,0
22-02-2021,0,857.758,0,0,0
23-02-2021,0,0,948.276,0,0
24-02-2021,0,857.7595238,0,0,0
25-02-2021,0,857.7588,948.276,0,0
26-02-2021,0,857.7594,948.28,0,0
27-02-2021,0,0,0,0,0
28-02-2021,0,0,0,0,0
01-03-2021,0,0,0,0,0
02-03-2021,0,0,948.276,0,0
03-03-2021,0,0,0,0,0
04-03-2021,0,0,0,0,0
05-03-2021,0,857.75875,0,0,0
06-03-2021,0,857.7583333,0,948.2766667,6
07-03-2021,0,0,0,0,0
08-03-2021,857.7586364,857.76,948.28,0,0
09-03-2021,0,0,0,0,0
10-03-2021,857.7588889,0,0,0,0
11-03-2021,0,857.7583333,948.275,0,0
12-03-2021,0,0,948.276,948.275875,80
13-03-2021,0,0,948.27625,0,0
14-03-2021,0,0,0,0,0
15-03-2021,0,0,948.2757143,0,0
16-03-2021,0,857.7591667,0,0,0
17-03-2021,0,0,0,0,0
18-03-2021,0,857.75875,0,0,0
19-03-2021,0,0,0,0,0
20-03-2021,0,0,948.275,0,0
21-03-2021,0,0,0,0,0
22-03-2021,0,857.7585714,948.2783333,0,0
23-03-2021,857.759,0,0,0,0
24-03-2021,0,857.7585909,948.2766667,0,0
25-03-2021,0,0,844.8276,0,0
26-03-2021,0,0,844.8275,0,0
27-03-2021,0,857.76,844.8275,0,0
28-03-2021,0,0,0,0,0
29-03-2021,0,857.76,844.8288889,0,0
30-03-2021,0,0,0,0,0
31-03-2021,0,0,844.83,0,0
01-04-2021,844.83,0,844.828,0,0
02-04-2021,0,0,844.8277778,0,0
03-04-2021,0,0,844.8277273,0,0
04-04-2021,0,0,0,0,0
05-04-2021,0,0,0,0,0
06-04-2021,844.8266667,0,0,0,0
07-04-2021,844.8275,0,844.83,0,0
08-04-2021,0,0,844.8283333,0,0
09-04-2021,0,0,844.8271429,0,0
10-04-2021,844.8276667,0,844.8275,948.2758333,12
11-04-2021,0,0,0,0,0
12-04-2021,844.8266667,0,0,0,0
13-04-2021,844.83,857.7592857,844.8283253,0,0
14-04-2021,844.8271429,857.7592857,896.5517167,0,0
15-04-2021,0,0,844.828875,0,0
16-04-2021,0,857.76,844.828,0,0
17-04-2021,844.8277778,0,0,0,0
18-04-2021,0,0,0,0,0
19-04-2021,0,857.7595,0,0,0
20-04-2021,0,0,844.8274294,0,0
21-04-2021,844.82875,857.76,844.8272727,0,0
22-04-2021,844.8275,0,844.8275,0,0
23-04-2021,844.8271465,857.76,844.8275,0,0
24-04-2021,844.8277714,0,0,0,0
25-04-2021,0,0,0,0,0
26-04-2021,844.8277778,857.76,844.8274167,0,0
27-04-2021,844.828,857.76,844.8284242,0,0
28-04-2021,844.8285926,857.76,844.8286111,948.276,25
29-04-2021,0,0,0,0,0
30-04-2021,844.8283333,857.76,0,0,0
01-05-2021,0,857.76,844.8273214,0,0
02-05-2021,0,0,0,0,0
03-05-2021,0,0,844.8277778,0,0
04-05-2021,844.8271429,857.76,844.8288889,0,0
05-05-2021,844.829,857.76,844.8280556,948.2755769,15
06-05-2021,0,857.76,844.8293333,0,0
07-05-2021,844.829,857.76,844.828,0,0
08-05-2021,844.8275,0,844.8291667,0,0
09-05-2021,0,0,0,0,0
10-05-2021,0,0,0,948.276,5
11-05-2021,0,0,844.827875,0,0
12-05-2021,0,857.7591667,844.828,0,0
13-05-2021,0,0,0,0,0
14-05-2021,0,857.75875,844.83,948.275,4
15-05-2021,844.83,0,0,0,0
16-05-2021,0,0,0,0,0
17-05-2021,0,857.76,844.83,0,0
18-05-2021,844.8281667,0,844.8291667,0,0
19-05-2021,0,0,844.8291667,948.275,2
20-05-2021,0,857.76,844.8274825,0,0
21-05-2021,0,857.76,0,0,0
22-05-2021,844.8275,857.76,844.8275,0,0
23-05-2021,0,0,0,0,0
24-05-2021,844.8276923,857.75875,0,0,0
25-05-2021,844.8285,857.759,844.8275833,948.276,15
26-05-2021,0,857.7588571,844.8266667,948.28,1
27-05-2021,844.83,0,844.8283333,948.276,5
28-05-2021,844.8289286,857.7586667,844.83,948.28,1
29-05-2021,844.83,857.76,0,0,0
30-05-2021,0,0,0,0,0
31-05-2021,844.8286607,0,844.829,0,0
01-06-2021,844.8290909,0,844.8293333,0,0
02-06-2021,0,857.76,844.83,0,0
03-06-2021,844.8275,857.7575,0,0,0
04-06-2021,844.8284524,0,0,0,0
05-06-2021,844.8275,0,0,0,0
06-06-2021,0,0,0,0,0
07-06-2021,844.83,857.76,844.8275758,0,0
08-06-2021,844.8275,857.76,0,0,0
09-06-2021,844.8275,0,0,0,0
10-06-2021,844.83,0,0,0,0
11-06-2021,844.83,0,844.8282222,0,0
12-06-2021,0,0,0,948.2761538,13
13-06-2021,0,0,0,0,0
14-06-2021,844.8282143,0,844.8275,948.28,1
15-06-2021,844.83,0,844.827381,948.276,5
16-06-2021,0,0,0,0,0
17-06-2021,844.83,0,844.8274583,0,0
